NAMA SATUAN PENDIDIKAN;BID_IPS;BING_IPS;MAT_IPS;EKO;SOS;GEO;BID_IPA;BING_IPA;MAT_IPA;FIS;KIM;BIO;
SMA 1 BARUNAWATI;66,77;48,49;31,96;53,08;58,80;52;73,71;55,77;33,04;41,17;52,50;47,04;
SMA 17 AGUSTUS 1945;69,20;58,13;34,56;38,75;63,10;55,20;64,98;55,60;31,61;37,81;39,44;43,13;
SMA 2 PSKD;67,20;57,20;33,17;50;57;53,53;71,75;64,25;34,38;40,00;42,50;66,25;
SMA 28 OKTOBER 1928;65,10;42,70;30,38;47,00;51,27;48;75,14;52,00;36,25;52,15;47,50;44,25;
SMA ABDI SISWA;76,82;77;48,38;78,27;75,38;65,20;85,14;88,57;74,29;83,57;81,00;74,44;
SMA ACS JAKARTA;69,33;91,33;57,29;59,17;60;60;67,78;93,48;60,56;57,22;68,75;64,06;
SMA ADI LUHUR;61,65;50,48;32,66;55,63;56,26;45,73;71,50;55,93;34,17;37,92;41,25;47,61;
SMA AL-CHASANAH;66,25;52,28;32,19;42,50;55,86;52,57;71,75;54,13;34,77;37,00;44,17;47,92;
SMA AL-FALAH;72,67;78;51,67;65;78;69,00;86,00;91,60;56,50;37,50;80,00;61,67;
SMA AL-HUDA;63,22;47,02;32,08;48,21;56,14;52,40;74,17;52,59;33,96;36,63;39,50;48,70;
SMA AL-KHAIRIYAH;60,19;42;31,65;45,25;52,75;47,05;70,48;51,10;31,64;33,57;37,14;47,67;
SMA AL GHURABAA;56;45,90;32,25;46,25;66;45,43;67,47;53,47;31,83;43,75;30,00;44,79;
SMA AL KAMAL;69,39;53,79;34,38;48,18;56,82;53,36;75,36;61,36;35,60;38,86;44,24;56,41;
SMA ANGKASA 1;71,41;61,93;34,59;55,33;57,55;65,41;73,12;61,68;34,84;37,56;45,63;52,16;
SMA ANGKASA 2;68,16;58,21;34,44;51,72;60,88;58,15;72,69;62,15;41,13;46,96;50,00;55,00;
SMA ASISI;77,62;75,41;40,41;61,25;75,60;62,75;78,00;82,40;43,83;42,08;55,00;60,50;
SMA ATTAQWA;60,05;42,67;32,86;54,42;51,04;59;65,17;44,22;31,74;40,00;36,82;41,85;
SMA AVICENNA JAGAKARSA;79,81;80,90;49,11;79,38;75,04;75,71;81,50;81,42;48,54;55,00;65,63;72,32;
SMA BAKTI IDHATA;70,38;57,53;32,66;59,32;59,81;57,08;75,93;60,90;36,88;39,00;46,67;59,02;
SMA BAKTI MULYA 400;71,91;78,98;38,08;51;61,77;61,50;77,45;79,39;43,11;47,50;44,46;49,44;
SMA BAPTIS CENGKARENG INDAH;69,14;53,14;35,83;52,14;65,82;54;81,33;64,17;33,75;37,50;48,75;59,29;
SMA BEACON ACADEMY JAKARTA;60,67;88,67;46,67;63,34;57,33;63,34;80,00;93,00;47,50;52,50;72,00;82,50;
SMA BHINNEKA TUNGGAL IKA;67,85;65,04;50,46;61,43;59;66;71,52;65,28;53,10;43,75;42,50;52,12;
SMA BINA BANGSA;57;91,75;46,56;48,44;60,94;60,94;68,35;91,20;60,00;58,43;51,25;74,17;
SMA BINA BANGSA SCHOOL PANTAI INDAH KAPUK;63,60;87,60;47,50;50,50;62,30;62,30;66,82;91,35;55,12;51,56;73,50;69,41;
SMA BINA DHARMA;70,72;55,47;36,95;56,19;62;60,31;75,76;59,04;37,30;38,93;41,50;55,34;
SMA BINA KUSUMA MULIA;79;79,40;56;71,30;69,33;84;82,67;87,73;53,17;55,83;71,31;65,56;
SMA BINA NUSANTARA;64,13;88,43;46,84;61,67;57,35;64,35;69,89;91,94;52,50;50,23;55,00;67,14;
SMA BINA PANGUDI LUHUR;62,09;43,36;33,03;45;51,56;43,76;71,03;48,19;35,65;40,00;36,50;45,79;
SMA BINA TUNAS BANGSA;70,17;86,17;53,13;52,29;65,44;65,44;73,14;92,57;51,25;43,21;56,07;66,65;
SMA BOROBUDUR;64,71;54,94;31,03;27,50;57;48;77,67;68,33;35,00;41,88;55,88;43,75;
SMA BPS & K  I;67,04;50,67;32,07;46,46;61,04;50,89;70,43;55,20;33,92;34,85;40,83;48,85;
SMA BUDHAYA II SANTO AGUSTINUS;67,83;60,86;35,99;60,31;51,81;48,86;72,45;61,70;34,69;39,38;51,67;47,27;
SMA BUDHI WARMAN I;69,09;51,93;36,05;47,50;60,29;60,87;70,30;54,92;33,84;34,77;42,50;48,97;
SMA BUDHI WARMAN II;70,32;55,59;34,47;46,72;61,85;68,33;73,24;55,36;35,95;36,09;55,83;51,40;
SMA BUDI AGUNG;77,38;81,09;54,27;67;75,50;63,53;84,57;87,07;66,43;53,75;75,00;70,71;
SMA BUDI MULIA;77,80;72,13;49,07;66,59;71,53;78,17;84,48;84,94;60,48;58,38;63,63;71,56;
SMA BUDI MULIA UTAMA;61;47,63;31,48;47,81;56,50;55;69,36;49,14;30,80;41,67;39,50;47,00;
SMA BUDI MURNI 2;66,93;49,51;32,99;55,23;57,38;41,50;70,00;47,07;31,67;34,64;40,33;42,25;
SMA BUKIT SION;80,29;89,35;60,29;78;72,22;62,13;81,54;90,51;69,71;69,25;92,00;72,00;
SMA BUNDA HATI KUDUS;76,10;79,14;51,11;90;70,65;66,77;83,96;84,80;61,33;65,56;66,73;76,52;
SMA BUNDA KANDUNG;64,52;41,35;33,71;45,68;56,27;56;72,17;47,44;35,28;45,00;43,75;48,02;
SMA BUNDA MULIA;74,74;74,96;50,43;59,69;66,44;69,45;83,62;85,95;58,85;63,44;78,13;70,95;
SMA BUNDA MULIA SCHOOL;71,87;91,87;57;62,92;61,25;56;80,00;91,50;63,75;65,00;60,00;81,88;
SMA BUNGA HATI BANGSA;62,22;45,22;35,97;62,92;58,29;34;80,73;78,55;51,14;42,50;50,83;54,38;
SMA CAHAYA FADILAH;59,79;38,72;29,23;43,44;50,18;49,56;67,50;41,79;30,54;40,00;45,00;46,59;
SMA CAHAYA KUDUS;52;46,40;32,75;43,99;44,89;44;63,71;59,86;43,75;53,75;52,50;53,18;
SMA CAHAYA SAKTI;74,63;64,29;34,48;56,35;65,12;58,20;81,12;78,24;44,50;51,56;46,88;57,50;
SMA CANDRA NAYA;74,82;65,12;40,07;62,95;65;57,41;83,00;79,13;52,34;54,58;63,33;72,50;
SMA CENDRAWASIH;72,56;60,46;35,19;58,75;63,15;54,36;75,73;62,59;35,20;46,67;59,17;53,90;
SMA CENGKARENG I;58,14;41,72;31,34;44,72;55,23;42,26;70,71;49,23;31,83;39,13;47,50;43,49;
SMA CHARITAS;74,55;70,55;48,58;63,41;68,17;67,80;82,89;83,57;52,87;55,40;59,69;66,43;
SMA CHARTAR BUANA;67,82;51,72;33,73;55;58,25;48,67;70,76;53,38;33,73;35,00;38,75;48,24;
SMA CIKAL AMRI;73,50;89,17;46,67;65,23;63,64;56;76,00;92,00;61,25;100,00;67,50;55,00;
SMA CINTA KASIH TZU CHI;77,75;74,54;51,52;80;71,29;71,08;85,38;85,00;65,63;73,06;72,50;73,75;
SMA CITA BUANA;74;90,95;44,08;66,67;70,25;69,68;75,33;91,60;54,00;70,00;62,50;68,61;
SMA CITRA KASIH;81,67;86,33;65,94;75,83;72,53;78,67;84,21;90,96;84,06;83,18;75,00;72,05;
SMA CORPATARIN;62;42,89;31,67;46,47;49;52;79,17;62,33;33,96;35,83;35,00;48,93;
SMA DAMAI;73,65;63,65;42,61;70,83;60,29;61,50;76,00;70,77;47,12;47,50;39,17;52,78;
SMA DARMA SATRIA  PERSADA;68,65;69,03;44,26;72,50;66,40;50,40;83,33;86,00;61,17;75,00;64,29;62,50;
SMA DARUL MAARIF;59,94;41,55;29,76;47,50;53,16;43,40;70,29;54,71;35,00;52,32;52,32;49,29;
SMA DEWI SARTIKA;69,29;56,12;33,31;37,50;57,15;57;73,06;56,24;36,91;33,50;37,50;50,25;
SMA DHAMMASAVANA;73,11;65,11;40,56;71,11;59,33;64,67;84,57;80,86;56,07;45,00;67,50;70,50;
SMA DHARMA BUDHI BHAKTI;76,14;75,57;42,50;65,95;60;73,40;84,59;87,41;56,03;62,50;76,25;71,11;
SMA DHARMA JAYA;76,74;67,79;45,13;68,33;61,23;59,33;75,08;69,85;48,46;35,56;60,83;45,00;
SMA DHARMA KARYA;66,47;50,41;30,74;53,75;60,45;52,30;74,71;60,68;35,99;40,14;37,50;49,03;
SMA DHARMA PUTRA;56,56;47,68;29,20;50;50,91;46,06;62,30;46,15;30,83;32,50;36,67;39,29;
SMA DHARMA SUCI;81,85;82,96;56,06;69;68,53;71,86;83,57;84,26;65,33;52,00;78,33;81,67;
SMA DIAKONIA;68,57;62;51,79;54,17;52;52;73,60;78,20;55,50;48,75;75,00;68,33;
SMA DIAN HARAPAN;83,65;89,77;67,68;79,69;81,23;72;85,84;91,40;74,39;81,71;81,25;78,90;
SMA DIAN KASIH;81,07;84;66;75;74,36;77;82,91;88,45;61,59;67,73;73,33;71,25;
SMA DIPONEGORO 1;68,03;61,56;35,02;53,91;60,51;60,64;74,44;69,75;37,59;37,92;41,07;47,93;
SMA DIPONEGORO 2;63,67;44,12;30,52;43,33;57,08;63;68,87;45,13;33,33;40,31;46,67;47,24;
SMA DON BOSCO 1;76,52;79,91;52,61;79,09;66,27;73,60;83,77;85,54;69,62;77,32;85,00;82,81;
SMA DON BOSCO II;80,15;83,51;53,86;74,24;71,66;63,08;82,50;87,85;65,77;70,91;65,07;75,43;
SMA FAJRUL ISLAM;54,13;38,26;30;45;48;56,67;65,38;42,00;32,50;35,00;36,25;40,42;
SMA FATAHILLAH;64,34;45,45;35,43;47,73;51,85;49,48;71,50;48,70;37,50;40,00;48,33;47,97;
SMA FONS VITAE 2;70,87;54,82;36,86;62,81;58,36;59,33;78,00;72,38;49,71;63,21;46,67;57,66;
SMA FONS VITAE I;79,43;76,69;43,10;64,26;67,35;76,50;83,53;82,51;50,55;52,08;60,13;69,95;
SMA FRANSISKUS 2;66,09;56,26;31,52;67,50;57,33;56,67;69,50;60,13;39,84;35,63;60,00;44,77;
SMA FRANSISKUS I;68;52,20;35,50;53,63;59,67;57,50;72,67;60,67;32,50;52,92;52,92;45,83;
SMA GALATIA 3;69,50;64,25;32,19;56,99;62;56,99;85,33;70,00;42,92;90,00;54,50;64,67;
SMA GANDHI ANCOL;74,49;82;52,06;59,85;62,94;73,48;81,73;89,51;64,39;67,37;40,63;72,32;
SMA GARUDA CENDEKIA;74,52;82,44;42,87;61,67;69,29;69,43;84,64;89,18;55,91;49,04;41,67;73,75;
SMA GITA KIRTTI 2;53,60;37,20;30,75;43,09;50,80;43,09;68,22;43,56;37,50;39,00;37,50;45,25;
SMA GITA KIRTTI 3;66,33;50,40;31,92;48,33;50;52,92;73,56;56,40;31,67;34,81;37,50;49,58;
SMA GLOBAL ISLAMIC SCHOOL;76,38;73,92;41,41;64,09;67,57;65,14;79,78;79,07;43,28;52,08;53,21;57,88;
SMA GLOBAL SEVILLA PURI INDAH;78;72,73;50;69,59;77,20;82;78,29;92,57;64,29;42,50;77,09;85,50;
SMA GONZAGA;82,17;85,28;61,90;81,22;77,22;78,08;84,74;90,21;67,36;73,22;79,35;80,56;
SMA HANG TUAH I;66,40;55;35,39;49,17;59,89;57,29;72,27;56,99;36,92;40,30;42,27;48,23;
SMA HARAPAN JAYA;56,79;40;30,98;41,36;50,42;40,67;59,52;44,61;31,21;37,50;30,00;39,44;
SMA HATI SUCI;72,73;64,18;38,64;63,13;71,60;65;84,80;69,60;46,50;64,35;55,63;60,00;
SMA HERITAGE SCHOOL JAKARTA;69,20;88;50;51;64,55;64,55;68,00;90,00;47,50;66,38;66,38;60,00;
SMA HIGH SCOPE INDONESIA;75,33;88,55;45,83;64,58;68,11;63;79,32;90,84;52,04;51,05;49,38;61,33;
SMA HIGHFIELD;81,14;93,43;66,79;79,06;74,86;79,06;84,40;93,40;80,50;81,00;76,88;85,00;
SMA I CAWANG BARU;59,71;45,45;31,78;46,11;52,31;56;69,66;55,83;34,36;40,42;47,50;44,02;
SMA IGNATIUS SLAMET RIYADI;74,92;62,50;41,51;56,25;67,07;57,65;77,70;67,63;43,80;59,38;41,25;49,17;
SMA IMPIAN BUNDA;70,33;71,50;35,63;71,88;65,50;61,27;80,57;82,29;47,86;36,88;52,50;60,00;
SMA INTERNATIONAL ISLAM HIGH SCHOOL;77,87;69;41,42;65;64,80;57,75;78,05;77,79;40,26;46,35;55,83;51,63;
SMA IP YAKIN;57,03;37,03;29,60;44,64;52,21;45,20;66,10;44,61;30,65;38,33;42,50;43,31;
SMA IPEKA PLUIT;84,40;86;71,67;88,68;81,27;82,01;85,48;90,91;72,72;81,79;86,00;84,81;
SMA ISLAM AL-AZHAR 1;84,68;88,10;56,04;84,38;78,62;82,29;85,92;91,25;73,56;87,86;70,47;78,81;
SMA ISLAM AL-AZHAR 2;71,17;68,75;39,67;55,23;68,35;57,25;79,49;78,95;43,91;46,50;45,83;61,97;
SMA ISLAM AL-AZHAR 3;79,52;80,35;44,78;66,25;73,20;73,04;81,04;86,87;49,59;59,00;63,61;63,03;
SMA ISLAM AL-AZHAR KELAPA GADING;72,78;72,31;35,59;56,43;62,25;64,83;77,93;77,58;44,12;42,69;66,25;55,38;
SMA ISLAM AL-IZHAR PONDOK LABU;81,88;87,28;57,95;77,50;74,06;71,33;82,79;90,69;55,58;52,18;60,76;72,06;
SMA ISLAM AL AZHAR 19 JAKARTA;74,57;67,83;41,47;67,50;68,79;68,77;79,95;78,00;48,01;55,00;61,50;58,25;
SMA ISLAM AL JABR;70,33;83,33;39,17;64,79;67,60;60;84,36;87,45;63,64;56,25;75,00;66,25;
SMA ISLAM AL MARUF;67,33;57,50;33,23;64,38;60,33;48;69,82;57,45;34,09;35,25;40,56;47,10;
SMA ISLAM AS-SYAFIIYAH 01;61,59;42,90;29,76;50;51,67;49,76;70,00;48,88;32,85;39,17;43,00;45,34;
SMA ISLAM HARAPAN IBU;63,35;69,35;39,07;58,15;59,44;64,91;75,79;76,21;43,03;35,00;43,75;64,33;
SMA ISLAM PB SOEDIRMAN;72,56;63,10;39,83;60,71;65,49;69,22;75,35;67,64;40,61;40,00;54,86;56,15;
SMA IT AL-HALIMIYAH;70,21;58,28;36,29;56,25;63,18;72;74,33;63,60;37,58;36,67;48,75;55,75;
SMA JAC;75,33;87,33;69,17;75,79;71,33;75,79;83,43;93,71;56,07;57,50;60,00;55,63;
SMA JAKARTA INTERCULTURAL SCHOOL;42,76;83,94;43,31;39,81;50;37,50;49,44;87,00;47,36;44,50;20,00;55,71;
SMA JAKARTA ISLAMIC SCHOOL;74,61;75,64;48,18;57,27;73,50;57,33;76,94;82,17;47,64;50,77;58,75;60,58;
SMA JUBILEE;76,08;84,86;49,36;63,19;67,64;68,86;80,57;90,34;60,54;64,07;57,23;75,63;
SMA K PANCARAN BERKAT;70,82;58;38,68;52,50;61,40;38;73,37;66,00;38,82;43,33;43,00;58,50;
SMA KAIROS GRACIA;75,33;92;65,83;42,50;75,67;83;81,52;93,81;69,17;50,36;73,04;77,50;
SMA KANAAN GLOBAL SCHOOL;86,80;88;72,50;71;79,58;79,58;82,92;90,15;74,62;65,94;100,00;77,50;
SMA KANISIUS;87,11;90,06;77,34;89,69;84,36;83,50;87,12;92,20;81,77;91,56;87,42;91,82;
SMA KARTIKA VIII-1;70,46;53,63;32,73;53,33;61,02;59,56;74,07;57,69;37,29;40,54;45,96;49,30;
SMA KARTIKA X -1;64,79;54,54;33,23;65,23;61,23;58;72,06;60,25;36,81;35,83;60,42;50,69;
SMA KARTINI 1;66,32;50,79;33,42;52,27;54,48;55,67;69,48;59,63;37,04;38,75;42,50;46,38;
SMA KARYA ENAM-ENAM;54,55;38,51;31,22;45;48,52;40;63,58;43,33;32,60;32,50;36,67;41,79;
SMA KASIH IMMANUEL;66;70,55;41,82;63,75;59,11;59,58;72,67;67,67;41,67;57,07;57,07;46,25;
SMA KATOLIK BINTANG KEJORA;63,29;53,57;37,68;51,25;61,20;53,23;81,29;68,94;43,97;55,00;52,50;57,05;
SMA KATOLIK LIA STEPHANIE;74,14;69,79;44,55;62,50;61,89;68;80,63;83,05;58,29;63,13;60,00;61,00;
SMA KATOLIK RICCI;77,93;73,67;45,14;80,42;68,79;68,86;81,64;82,68;62,39;63,59;58,93;70,36;
SMA KELUARGA WIDURI;66,76;55,48;33,70;51,43;61,17;51,14;75,96;60,88;33,75;33,93;39,72;49,69;
SMA KEMALA BHAYANGKARI 1;73,32;55,71;35,34;45,74;67,96;64,81;74,53;59,89;39,54;41,04;47,64;48,09;
SMA KEMURNIAN II;81,24;81,43;62,50;73,21;79,09;67,83;86,07;89,41;74,54;77,29;86,43;75,31;
SMA KHARISMAWITA;61,20;42,90;32,63;50;52,50;46,73;74,60;53,40;34,50;45,00;39,38;59,00;
SMA KRISTEN 1 PENABUR;87,94;91,67;82,09;92;81,36;80,86;88,26;93,32;90,58;95,20;88,13;89,87;
SMA KRISTEN 2 BPK PENABUR;79,70;80,90;58,29;79,62;69,53;71,23;83,05;87,29;65,19;86,73;65,69;72,35;
SMA KRISTEN 3 BPK PENABUR;87,28;88,83;73,41;90;82,09;83,46;86,94;91,61;85,34;89,95;86,22;81,70;
SMA KRISTEN 4 PENABUR;84,06;88,67;66,88;80,71;78;79,04;86,29;89,31;69,18;77,12;70,33;72,50;
SMA KRISTEN 5 BPK PENABUR;83,64;87,87;70,45;80,45;79,47;75,88;86,60;92,51;79,66;90,29;84,79;84,36;
SMA KRISTEN 6 BPK PENABUR;84,96;87,10;79,33;85,31;76;80,50;87,11;90,77;88,02;85,36;84,25;81,98;
SMA KRISTEN 7 BPK PENABUR;84,54;87,56;59,52;83,19;76,28;78,13;86,93;90,11;73,70;90,76;77,61;80,05;
SMA KRISTEN 8 PENABUR;79,14;89,71;69,29;62,92;80;75,88;86,71;93,79;81,79;86,72;79,06;82,50;
SMA KRISTEN ALMASIH;72,15;67,69;37,12;60;63;70;78,57;81,14;55,71;69,30;66,25;55,83;
SMA KRISTEN BETHEL;69,50;62,13;35,94;57,05;60,63;57,05;73,14;60,00;37,86;54,72;37,50;55,63;
SMA KRISTEN CALVIN;84;90;77,86;78,93;76,22;74,80;85,38;93,69;72,12;79,17;72,25;86,43;
SMA KRISTEN IMMANUEL;68,70;62,40;40,63;47,50;62,89;52;76,29;75,14;41,43;62,59;47,50;59,17;
SMA KRISTEN IPEKA PURI INDAH;82,65;89,85;76,25;81,63;70;73,62;85,64;91,76;79,42;86,90;82,24;83,25;
SMA KRISTEN IPEKA SUNTER;82,59;87,36;60,61;72,22;76,71;76,67;86,36;89,67;70,19;79,09;86,53;74,52;
SMA KRISTEN IPEKA TOMANG;84,51;86,51;68,05;81,82;77,50;74,48;85,35;89,39;74,83;81,25;82,27;77,05;
SMA KRISTEN KALAM KUDUS II;78,92;78,92;53,02;74,38;66,25;69,96;83,74;85,42;59,76;71,25;52,50;61,09;
SMA KRISTEN KALAM KUDUS III;77,39;80,35;48,26;76,67;72,47;63,33;82,24;84,59;56,03;74,17;68,33;62,73;
SMA KRISTEN KANAAN;77,53;74,65;49,24;73,27;74,83;67,67;84,32;84,45;55,48;67,50;63,75;66,46;
SMA KRISTEN KARUNIA;78,50;71;65;80,83;74;70,67;83,50;90,75;78,75;86,67;90,00;83,33;
SMA KRISTEN KASIH KEMULIAAN;79,65;81,27;55,87;70,74;70,70;68,67;84,18;87,82;70,04;65,75;76,25;69,09;
SMA KRISTEN KETAPANG I;81,26;78,96;59,81;72,22;73,69;73,20;85,62;84,57;76,31;80,50;90,00;69,04;
SMA KRISTEN MAWAR SARON;74,67;72;40,83;59,88;59,88;52;74,67;84,67;40,00;43,33;60,67;60,67;
SMA KRISTEN PENABUR KELAPA GADING;82,50;93,83;71,46;77,05;81,23;78;82,56;93,41;82,55;88,33;80,26;91,00;
SMA KRISTEN SAMARIA KUDUS;79,33;75;39,17;67,21;75,33;67,21;76,75;70,00;45,00;61,07;54,38;50,63;
SMA KRISTEN TIARA KASIH;81,74;84,15;63,01;75,18;73,75;75,18;86,00;90,83;75,00;77,36;76,67;68,33;
SMA KRISTEN TUNAS BANGSA;75,54;75,77;50,87;55;79,40;60,43;82,41;87,33;53,46;60,56;67,75;71,25;
SMA KRISTEN TUNAS BANGSA JAKARTA BARAT;76,46;75,69;54,62;80;77,33;68,80;81,75;95,00;77,19;94,38;70,00;65,00;
SMA KRISTEN YUSUF;83,25;81,65;81,44;86,52;74,67;71,43;86,15;90,92;92,31;82,14;87,83;72,50;
SMA LABSCHOOL JAKARTA;85,53;90,05;58,56;83,08;82,93;78,11;85,91;89,93;66,24;81,67;71,53;81,63;
SMA LABSCHOOL KEBAYORAN;85,69;90,77;74,22;90,76;81,05;83,70;87,27;92,43;86,65;86,81;82,69;85,71;
SMA LAMAHOLOT;63,47;51,33;33,50;51,08;56;51,08;68,89;52,67;31,94;38,33;47,50;46,25;
SMA LENTERA INDONESIA;75,78;89,78;60,83;66,25;67,33;60;72,29;88,86;59,29;54,38;70,65;72,50;
SMA MAHATMA GADING;75,60;82,93;58,83;64,50;73,67;72;85,56;92,81;78,43;80,23;85,00;80,18;
